Libelle_point_arret;A;B;C;D;E;H;J;K;L;N;P;R;U
MONTIGNY BEAUCHAMP;;;1;;;1;;;;;;;
GARE DE NANTERRE UNIVERSITE RER A;1;;;;;;;;;;;;
NEUILLY PLAISANCE;1;;;;;;;;;;;;
GRAVIGNY BALIZY;;;1;;;;;;;;;;
LA FERTE MILON;;;;;;;;;;;1;;
ORSAY VILLE;;1;;;;;;;;;;;
MONTEREAU;;;;;;;;;;;;1;
GENTILLY;;1;;;;;;;;;;;
MEUDON;;;;;;;;;;1;;;
MEAUX;;;;;;;;;;;1;;
PARIS SAINT-LAZARE (GARE SAINT-LAZARE);;;;;;;1;;1;;;;
VERNOU SUR SEINE;;;;;;;;;;;;1;
LIVRY SUR SEINE;;;;;;;;;;;;1;
PERSAN BEAUMONT;;;;;;1;;;;;;;
VAUX SUR SEINE;;;;;;;1;;;;;;
LOUVECIENNES;;;;;;;;;1;;;;
LES BACONNETS;;1;;;;;;;;;;;
BELLEVUE;;;;;;;;;;1;;;
GISORS;;;;;;;1;;;;;;
EMERAINVILLE - PONTAULT COMBAULT;;;;;1;;;;;;;;
EPINAY SUR SEINE;;;1;;;;;;;;;;
PARC DE SCEAUX;;1;;;;;;;;;;;
LAPLACE;;1;;;;;;;;;;;
EPINAY SUR SEINE T11;;;1;;;;;;;;;;
EPINAY VILLETANEUSE T11;;;;;;1;;;;;;;
LA VERRIERE;;;;;;;;;;1;;;1
GIF SUR YVETTE;;1;;;;;;;;;;;
IVRY SUR SEINE;;;1;;;;;;;;;;
LES GRESILLONS;;;1;;;;;;;;;;
AUBERGENVILLE ELISABETHVILLE;;;;;;;1;;;;;;
LE BOURGET;;1;;;;;;;;;;;
BECON LES BRUYERES;;;;;;;;;1;;;;
CHEZY SUR MARNE;;;;;;;;;;;1;;
LAGNY THORIGNY;;;;;;;;;;;1;;
MARLY LE ROI;;;;;;;;;1;;;;
BREUILLET BRUYERES LE CHATEL;;;1;;;;;;;;;;
PETIT JOUY LES LOGES;;;1;;;;;;;;;;
NOGENT SUR MARNE;1;;;;;;;;;;;;
GRIGNY CENTRE;;;;1;;;;;;;;;
AVENUE FOCH;;;1;;;;;;;;;;
ROBINSON;;1;;;;;;;;;;;
PRESLES COURCELLES;;;;;;1;;;;;;;
TRIEL SUR SEINE;;;;;;;1;;;;;;
FREPILLON;;;;;;1;;;;;;;
LUZARCHES;;;;;;1;;;;;;;
PONT DU GARIGLIANO - H̫pital Europ̩en Georges Pompidou;;;1;;;;;;;;;;
MOULIN GALANT;;;;1;;;;;;;;;
MEULAN HARDRICOURT;;;;;;;1;;;;;;
MANTES STATION;;;;;;;1;;;;;;
CREDIT AGRICOLE (DOMMERVILLE);;;1;;;;;;;;;;
SAINT-MICHEL SUR ORGE;;;1;;;;;;;;;;
FONTENAY SOUS BOIS;1;;;;;;;;;;;;
ATHIS MONS;;;1;;;;;;;;;;
ACHERES GRAND CORMIER;1;;;;;;;;;;;;
EPONE MEZIERES;;;;;;;1;;;1;;;
GARE DE NANTERRE PREFECTURE;1;;;;;;;;;;;;
JOUY SUR MORIN MONUMENT;;;;;;;;;;;1;;
EVRY - Val de Seine;;;;1;;;;;;;;;
LE BLANC MESNIL;;1;;;;;;;;;;;
LES SAULES;;;1;;;;;;;;;;
MONTFORT L'AMAURY MERE;;;;;;;;;;1;;;
ENGHIEN LES BAINS;;;;;;1;;;;;;;
L'ETANG LA VILLE;;;;;;;;;1;;;;
SAINT-OUEN L'AUMONE;;;1;;;1;;;;;;;
BIBLIOTHEQUE FRANCOIS MITTERRAND;;;1;;;;;;;;;;
CHAILLY BOISSY LE CHATEL;;;;;;;;;;;1;;
GENNEVILLIERS;;;1;;;;;;;;;;
LE PLESSIS BELLEVILLE;;;;;;;;1;;;;;
MARCHEZAIS BROUE;;;;;;;;;;1;;;
RAMBOUILLET;;;;;;;;;;1;;;
BONNIERES;;;;;;;1;;;;;;
SAINT-REMY LES CHEVREUSE;;1;;;;;;;;;;;
AVENUE HENRI MARTIN;;;1;;;;;;;;;;
PONTHIERRY PRINGY;;;;1;;;;;;;;;
BOIGNEVILLE;;;;1;;;;;;;;;
PARIS EST (GARE DE L'EST);;;;;;;;;;;1;;
BRETIGNY;;;1;;;;;;;;;;
SARCELLES SAINT-BRICE;;;;;;1;;;;;;;
BAGNEAUX SUR LOING;;;;;;;;;;;;1;
